E_Pa,u_0,status
np.float64(80000000000.0),np.float64(-4.898482303849856e-06),ok
np.float64(85548763585.0495),np.float64(-4.580762688853094e-06),ok
np.float64(91482386886.63362),np.float64(-4.283650630952319e-06),ok
np.float64(97827563599.50815),np.float64(-4.005809506942795e-06),ok
np.float64(104612838880.94644),np.float64(-3.745989388108941e-06),ok
np.float64(111868737767.33702),np.float64(-3.5030214171439543e-06),ok
np.float64(119627902497.69763),np.float64(-3.2758125497974245e-06),ok
np.float64(127925239361.88608),np.float64(-3.0633406375680833e-06),ok
np.float64(136798075734.13577),np.float64(-2.8646498293547017e-06),ok
np.float64(146286327998.36594),np.float64(-2.6788462713502544e-06),ok
np.float64(156432681120.71518),np.float64(-2.5050940858420714e-06),ok
np.float64(167282780677.14374),np.float64(-2.3426116108400574e-06),ok
np.float64(178885438199.9832),np.float64(-2.190667883597475e-06),ok
np.float64(191292850767.22928),np.float64(-2.048579352214096e-06),ok
np.float64(204560835822.44812),np.float64(-1.915706800534035e-06),ok
np.float64(218749082281.6842),np.float64(-1.7914524724875309e-06),ok
np.float64(233921419057.0293),np.float64(-1.6752573829602322e-06),ok
np.float64(250146102204.86362),np.float64(-1.566598803074552e-06),ok
np.float64(267496121990.56882),np.float64(-1.4649879085791458e-06),ok
np.float64(286049531251.1091),np.float64(-1.3699675807681735e-06),ok
np.float64(305889796532.692),np.float64(-1.2811103500343563e-06),ok
np.float64(327106173583.177),np.float64(-1.198016472802243e-06),ok
np.float64(349794108888.4671),np.float64(-1.1203121331948777e-06),ok
np.float64(374055669059.28174),np.float64(-1.047647761344077e-06),ok
np.float64(400000000000.0),np.float64(-9.796964607695663e-07),ok
