E_Pa,u_0,status
np.float64(80000000000.0),np.float64(-4.898482303861594e-06),ok
np.float64(85548763585.0495),np.float64(-4.580762688864999e-06),ok
np.float64(91482386886.63362),np.float64(-4.28365063096298e-06),ok
np.float64(97827563599.50815),np.float64(-4.005809506952678e-06),ok
np.float64(104612838880.94644),np.float64(-3.7459893881180385e-06),ok
np.float64(111868737767.33702),np.float64(-3.5030214171536546e-06),ok
np.float64(119627902497.69763),np.float64(-3.2758125498060087e-06),ok
np.float64(127925239361.88608),np.float64(-3.0633406375761953e-06),ok
np.float64(136798075734.13577),np.float64(-2.8646498293626253e-06),ok
np.float64(146286327998.36594),np.float64(-2.678846271356985e-06),ok
np.float64(156432681120.71518),np.float64(-2.5050940858484975e-06),ok
np.float64(167282780677.14374),np.float64(-2.3426116108462734e-06),ok
np.float64(178885438199.9832),np.float64(-2.190667883602861e-06),ok
np.float64(191292850767.22928),np.float64(-2.048579352219372e-06),ok
np.float64(204560835822.44812),np.float64(-1.9157068005386175e-06),ok
np.float64(218749082281.6842),np.float64(-1.791452472492221e-06),ok
np.float64(233921419057.0293),np.float64(-1.6752573829649552e-06),ok
np.float64(250146102204.86362),np.float64(-1.566598803078644e-06),ok
np.float64(267496121990.56882),np.float64(-1.46498790858263e-06),ok
np.float64(286049531251.1091),np.float64(-1.3699675807715838e-06),ok
np.float64(305889796532.692),np.float64(-1.2811103500376006e-06),ok
np.float64(327106173583.177),np.float64(-1.198016472805213e-06),ok
np.float64(349794108888.4671),np.float64(-1.120312133197987e-06),ok
np.float64(374055669059.28174),np.float64(-1.0476477613465098e-06),ok
np.float64(400000000000.0),np.float64(-9.796964607723187e-07),ok
