equation_id,node,x,y,z,variable,fixed,K_diag,null_vector
0,1,0.0,0.0,0.0,ROTATION_X,False,24618997672.307316,0.0
1,1,0.0,0.0,0.0,ROTATION_Y,False,24618997672.307316,-0.18349396085537423
2,1,0.0,0.0,0.0,ROTATION_Z,False,354356233.7437407,4.831334484785006e-13
3,1,0.0,0.0,0.0,DISPLACEMENT_X,True,175088860715.0131,-9.470009483265074e-15
4,1,0.0,0.0,0.0,DISPLACEMENT_Y,True,175088860715.01306,-1.4086910460698671e-14
5,1,0.0,0.0,0.0,DISPLACEMENT_Z,True,18509072759796.31,1.2314063621389566e-16
6,2,0.0,0.1,0.0,ROTATION_X,False,38411153231.0229,5.77946978469468e-14
7,2,0.0,0.1,0.0,ROTATION_Y,False,38411153231.0229,-0.18349396085521608
8,2,0.0,0.1,0.0,ROTATION_Z,False,519708854.2754531,-6.251915137559896e-12
9,2,0.0,0.1,0.0,DISPLACEMENT_X,True,175088860715.0131,1.083690495280998e-14
10,2,0.0,0.1,0.0,DISPLACEMENT_Y,True,175088860715.01306,1.0057158049095586e-14
11,2,0.0,0.1,0.0,DISPLACEMENT_Z,True,20288260826870.617,-7.32280362156868e-17
12,3,0.1,0.0,0.0,ROTATION_X,False,63030150903.330215,-3.313573374019718e-13
13,3,0.1,0.0,0.0,ROTATION_Y,False,63030150903.330215,-0.1834939608550627
14,3,0.1,0.0,0.0,ROTATION_Z,False,874065088.0191938,-2.529968041012319e-12
15,3,0.1,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,-2.939486281985066e-14
16,3,0.1,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0261,-1.527218090038804e-13
17,3,0.1,0.0,0.0,DISPLACEMENT_Z,False,38797333586666.92,0.0183493960855223
18,4,0.1,0.1,0.0,ROTATION_X,False,63030150903.330215,-1.3802457440870164e-13
19,4,0.1,0.1,0.0,ROTATION_Y,False,63030150903.33022,-0.18349396085478112
20,4,0.1,0.1,0.0,ROTATION_Z,False,874065088.0191938,2.0968671169407778e-12
21,4,0.1,0.1,0.0,DISPLACEMENT_X,False,350177721430.0262,-9.096721300278374e-14
22,4,0.1,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,-1.880253721869335e-13
23,4,0.1,0.1,0.0,DISPLACEMENT_Z,False,38797333586666.92,0.018349396085501693
24,5,0.2,0.0,0.0,ROTATION_X,False,63030150903.33021,-3.6449098947399783e-13
25,5,0.2,0.0,0.0,ROTATION_Y,False,63030150903.330215,-0.1834939608543455
26,5,0.2,0.0,0.0,ROTATION_Z,False,874065088.0191936,4.616998925205037e-12
27,5,0.2,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,1.4291640100854229e-13
28,5,0.2,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0261,5.201134779759473e-14
29,5,0.2,0.0,0.0,DISPLACEMENT_Z,False,38797333586666.93,0.03669879217098736
30,6,0.2,0.1,0.0,ROTATION_X,False,63030150903.33021,-2.4888424654534447e-13
31,6,0.2,0.1,0.0,ROTATION_Y,False,63030150903.330215,-0.18349396085409972
32,6,0.2,0.1,0.0,ROTATION_Z,False,874065088.0191936,3.227118117003769e-12
33,6,0.2,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,-2.131073095767988e-13
34,6,0.2,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,9.096889908022376e-14
35,6,0.2,0.1,0.0,DISPLACEMENT_Z,False,38797333586666.94,0.03669879217095039
36,7,0.3,0.0,0.0,ROTATION_X,False,63030150903.3302,-8.412125163115292e-13
37,7,0.3,0.0,0.0,ROTATION_Y,False,63030150903.3302,-0.18349396085338138
38,7,0.3,0.0,0.0,ROTATION_Z,False,874065088.0191936,3.2654037893792287e-12
