equation_id,node,x,y,z,variable,fixed,K_diag,null_vector
0,1,0.0,0.0,0.0,ROTATION_X,True,24618997672.307316,0.0
1,1,0.0,0.0,0.0,ROTATION_Y,True,24618997672.307316,0.0
2,1,0.0,0.0,0.0,ROTATION_Z,False,354356233.7437407,0.0059372267066442625
3,1,0.0,0.0,0.0,DISPLACEMENT_X,True,175088860715.0131,1.4331797467542762e-16
4,1,0.0,0.0,0.0,DISPLACEMENT_Y,True,175088860715.01306,1.9449231721674343e-15
5,1,0.0,0.0,0.0,DISPLACEMENT_Z,True,18509072759796.31,3.0493186101154812e-18
6,2,0.0,0.1,0.0,ROTATION_X,True,38411153231.0229,9.537889141680855e-15
7,2,0.0,0.1,0.0,ROTATION_Y,True,38411153231.0229,-7.646755949795858e-15
8,2,0.0,0.1,0.0,ROTATION_Z,False,519708854.2754531,0.006037170458230834
9,2,0.0,0.1,0.0,DISPLACEMENT_X,True,175088860715.0131,-5.879763906660451e-16
10,2,0.0,0.1,0.0,DISPLACEMENT_Y,True,175088860715.01306,-4.611477757814064e-15
11,2,0.0,0.1,0.0,DISPLACEMENT_Z,True,20288260826870.617,-2.5982735657025663e-18
12,3,0.1,0.0,0.0,ROTATION_X,True,63030150903.330215,9.342224530865112e-15
13,3,0.1,0.0,0.0,ROTATION_Y,True,63030150903.330215,1.92163315424973e-15
14,3,0.1,0.0,0.0,ROTATION_Z,False,874065088.0191938,-0.047630316553870934
15,3,0.1,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,-0.0023511832183321455
16,3,0.1,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.0021232919485992805
17,3,0.1,0.0,0.0,DISPLACEMENT_Z,True,38797333586666.92,-8.719357159035768e-18
18,4,0.1,0.1,0.0,ROTATION_X,True,63030150903.330215,1.4799833992877598e-15
19,4,0.1,0.1,0.0,ROTATION_Y,True,63030150903.33022,1.3606987986445468e-14
20,4,0.1,0.1,0.0,ROTATION_Z,False,874065088.0191938,-0.04587939035578831
21,4,0.1,0.1,0.0,DISPLACEMENT_X,False,350177721430.0262,0.002320499488624074
22,4,0.1,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.00211852120475464
23,4,0.1,0.1,0.0,DISPLACEMENT_Z,True,38797333586666.92,1.4833240972317308e-17
24,5,0.2,0.0,0.0,ROTATION_X,True,63030150903.33021,-4.320938680642261e-15
25,5,0.2,0.0,0.0,ROTATION_Y,True,63030150903.330215,1.1033322421926534e-14
26,5,0.2,0.0,0.0,ROTATION_Z,False,874065088.0191936,-0.08988642935303788
27,5,0.2,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,-0.004431389461745283
28,5,0.2,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.008909755244647892
29,5,0.2,0.0,0.0,DISPLACEMENT_Z,True,38797333586666.93,3.9302328752599536e-18
30,6,0.2,0.1,0.0,ROTATION_X,True,63030150903.33021,-1.9939955177468438e-14
31,6,0.2,0.1,0.0,ROTATION_Y,True,63030150903.330215,-4.716469185692129e-15
32,6,0.2,0.1,0.0,ROTATION_Z,False,874065088.0191936,-0.087812867348082
33,6,0.2,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,0.004395438273005011
34,6,0.2,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.008916092055437377
35,6,0.2,0.1,0.0,DISPLACEMENT_Z,True,38797333586666.94,2.9280234920686654e-17
36,7,0.3,0.0,0.0,ROTATION_X,True,63030150903.3302,-2.7502143357810427e-15
37,7,0.3,0.0,0.0,ROTATION_Y,True,63030150903.3302,-5.480425141479728e-15
38,7,0.3,0.0,0.0,ROTATION_Z,False,874065088.0191936,-0.1282988390512914
39,7,0.3,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,-0.006346560442538736
40,7,0.3,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.01972635777627463
41,7,0.3,0.0,0.0,DISPLACEMENT_Z,True,38797333586666.92,8.600433733241264e-17
42,8,0.3,0.1,0.0,ROTATION_X,True,63030150903.3302,4.58346468418247e-15
43,8,0.3,0.1,0.0,ROTATION_Y,True,63030150903.3302,4.020194550521938e-15
44,8,0.3,0.1,0.0,ROTATION_Z,False,874065088.0191938,-0.12678635289169457
45,8,0.3,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,0.0063273709827180655
46,8,0.3,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.019743458713225373
47,8,0.3,0.1,0.0,DISPLACEMENT_Z,True,38797333586666.92,-1.8919327909872052e-17
48,9,0.4,0.0,0.0,ROTATION_X,True,76822306462.04578,8.513155458356181e-16
49,9,0.4,0.0,0.0,ROTATION_Y,True,76822306462.04578,-1.6144204029178155e-14
50,9,0.4,0.0,0.0,ROTATION_Z,False,1039417708.5509062,-0.16287892013121208
51,9,0.4,0.0,0.0,DISPLACEMENT_X,False,350177721430.02606,-0.008069503706781684
52,9,0.4,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.034173825736932784
53,9,0.4,0.0,0.0,DISPLACEMENT_Z,True,40576521653741.234,0.0
54,10,0.4,0.1,0.0,ROTATION_X,True,49237995344.614624,6.853892453584365e-15
55,10,0.4,0.1,0.0,ROTATION_Y,True,49237995344.614624,-7.040266807034623e-15
56,10,0.4,0.1,0.0,ROTATION_Z,False,708712467.4874814,-0.16286234195331836
57,10,0.4,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,0.008127688068378333
58,10,0.4,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.03433195063467598
59,10,0.4,0.1,0.0,DISPLACEMENT_Z,True,37018145519592.61,-1.9038590148845458e-16
60,11,0.5,0.0,0.0,ROTATION_X,True,63030150903.33019,7.480127628411992e-15
61,11,0.5,0.0,0.0,ROTATION_Y,True,63030150903.330215,-9.131584377541913e-15
62,11,0.5,0.0,0.0,ROTATION_Z,False,874065088.0191934,-0.1937300491667543
63,11,0.5,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,-0.009598394230094775
64,11,0.5,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0261,-0.052102876693087385
65,11,0.5,0.0,0.0,DISPLACEMENT_Z,True,38797333586666.94,-3.469446951953614e-17
