sample_id,phase1_kind,repeat,E_true,alpha_true,status,seconds,reference,tolerance,match,max_rel_err,u_disp_y_tip,expected_disp_y_tip,phase1_disp_y_tip
59,failed,1,202115764419.64166,0.9768765800852666,ok,0.033929100005479995,u_ref*E_ref/E,1e-06,True,3.5209613002962215e-12,-1.938881835524972e-06,-1.9388818355317987e-06,nan
162,wrong,1,233987956262.8456,1.130922939888089,ok,0.01678360000369139,u_ref*E_ref/E,1e-06,True,3.5274005938390474e-12,-1.6747810039687525e-06,-1.6747810039746601e-06,-1.917924579550395e-06
212,wrong,1,204062819891.7348,0.9862871913568623,ok,0.01682480000454234,u_ref*E_ref/E,1e-06,True,3.0946356588401613e-12,-1.9203820887830783e-06,-1.920382088789021e-06,-1.615193147902935e-08
221,wrong,1,204442317858.7496,0.9881214009606071,ok,0.017099299999244977,u_ref*E_ref/E,1e-06,True,1.2103651414463457e-12,-1.9168173615557076e-06,-1.9168173615533876e-06,3.971326044368858e-07
271,wrong,1,193648963007.94327,0.9359543886319153,ok,0.01613589999760734,u_ref*E_ref/E,1e-06,True,2.244537888884679e-12,-2.023654442657219e-06,-2.0236544426617613e-06,-2.590155019044436e-07
396,failed,1,205106906257.4463,0.991333524685579,ok,0.01640629999747034,u_ref*E_ref/E,1e-06,True,3.1963320878958257e-13,-1.910606480582685e-06,-1.910606480583296e-06,nan
444,wrong,1,226531057760.2613,1.094881864476855,ok,0.018287099999724887,u_ref*E_ref/E,1e-06,True,5.049294315995212e-13,-1.7299110690720033e-06,-1.7299110690711298e-06,-1.07635666824026e-07
585,wrong,1,180331663291.49875,0.8715885127670312,ok,0.016596100002061576,u_ref*E_ref/E,1e-06,True,5.240252676230739e-14,-2.17309915050488e-06,-2.173099150504766e-06,2.10176702733565e-07
586,wrong,1,184429645032.60278,0.8913950944060067,ok,0.015324599997256882,u_ref*E_ref/E,1e-06,True,5.476730180475897e-12,-2.1248134172829906e-06,-2.1248134172713536e-06,-3.0883286939039163e-07
622,wrong,1,208218226572.89746,1.006371322246967,ok,0.014463199993770104,u_ref*E_ref/E,1e-06,True,3.1243896359001155e-12,-1.8820570646436405e-06,-1.8820570646377602e-06,2.173116544079187e-08
634,wrong,1,237199172850.3083,1.1464435613838004,ok,0.015855800003919285,u_ref*E_ref/E,1e-06,True,1.900479773553343e-12,-1.65210771858142e-06,-1.6521077185845597e-06,5.9191017787283176e-08
654,wrong,1,209774202787.3816,1.0138917486098675,ok,0.016925299998547416,u_ref*E_ref/E,1e-06,True,6.969980148596733e-13,-1.8680971210999306e-06,-1.8680971210986285e-06,-1.736180128688966e-08
659,wrong,1,182846082996.81577,0.8837413387956297,ok,0.018400099994323682,u_ref*E_ref/E,1e-06,True,2.1066481892262345e-12,-2.143215637350385e-06,-2.1432156373549e-06,-2.400195305901347e-07
690,wrong,1,204541311436.33405,0.9885998619445822,ok,0.018454900004144292,u_ref*E_ref/E,1e-06,True,5.409006575973763e-13,-1.9158896633458635e-06,-1.915889663344827e-06,-1.1647514738432859e-07
772,wrong,1,234238934011.0299,1.132135978786998,ok,0.015322100000048522,u_ref*E_ref/E,1e-06,True,8.621992009238966e-13,-1.6729865424069614e-06,-1.672986542405519e-06,-1.9095446185705852e-07
843,wrong,1,157045022306.64978,0.7590382905106321,ok,0.014776199997868389,u_ref*E_ref/E,1e-06,True,1.7930101847696278e-12,-2.495326362801737e-06,-2.495326362797263e-06,-6.514168546042557e-08
982,wrong,1,220844300439.3464,1.0673963288513602,ok,0.01487009999982547,u_ref*E_ref/E,1e-06,True,2.525979425627156e-12,-1.7744564090142071e-06,-1.774456409009725e-06,1.4868877421341746e-06
25,good,1,211050048527.13806,1.0200582335772743,ok,0.013721800001803786,phase1_u_true,1e-10,True,2.7136071167888076e-12,-1.856804047384193e-06,-1.8568040473938929e-06,-1.8568040473892317e-06
105,good,1,180855390498.8905,0.8741198187476583,ok,0.014549799998349044,phase1_u_true,1e-10,True,2.8488322811881517e-13,-2.1668062158791104e-06,-2.1668062158770517e-06,-2.166806215878493e-06
109,good,1,218154652890.62817,1.0543965823616634,ok,0.014084900001762435,phase1_u_true,1e-10,True,1.7985612998927536e-14,-1.7963338352677303e-06,-1.7963338352647273e-06,-1.7963338352676979e-06
198,good,1,181631599854.27954,0.8778714347717715,ok,0.014751400005479809,phase1_u_true,1e-10,True,2.9243274468626623e-13,-2.1575462894338102e-06,-2.157546289424671e-06,-2.157546289433179e-06
205,good,1,218865521822.7385,1.057832391603376,ok,0.016806599996925797,phase1_u_true,1e-10,True,2.2157831125468874e-12,-1.790499394538418e-06,-1.7904993945334802e-06,-1.7904993945344504e-06
219,good,1,208692914614.68225,1.0086656095441384,ok,0.016127700000652112,phase1_u_true,1e-10,True,3.915756607852927e-12,-1.8777761814804616e-06,-1.8777761814837267e-06,-1.8777761814878145e-06
235,good,1,231313996382.477,1.117999015865041,ok,0.013778499996988103,phase1_u_true,1e-10,True,1.7645884753392238e-12,-1.6941412557637781e-06,-1.6941412557668901e-06,-1.6941412557667675e-06
266,good,1,184046165718.53433,0.8895416419455502,ok,0.01429219999408815,phase1_u_true,1e-10,True,1.1226575225009583e-12,-2.1292406868549183e-06,-2.129240686856664e-06,-2.1292406868573086e-06
308,good,1,235011487696.87036,1.135869926036106,ok,0.014424100001633633,phase1_u_true,1e-10,True,2.73092659597296e-12,-1.6674869307420101e-06,-1.6674869307381781e-06,-1.6674869307374563e-06
317,good,1,189462169659.08725,0.9157185580429543,ok,0.017244400005438365,phase1_u_true,1e-10,True,1.4844792062262968e-12,-2.0683737814949248e-06,-2.068373781494229e-06,-2.0683737814979953e-06
322,good,1,246402620475.98264,1.1909261501980795,ok,0.013789500000711996,phase1_u_true,1e-10,True,2.3063773113563e-12,-1.590399418450316e-06,-1.5903994184431357e-06,-1.590399418446648e-06
359,good,1,188555702781.8041,0.911337374489145,ok,0.015113800000108313,phase1_u_true,1e-10,True,4.742872761198669e-13,-2.078317327597049e-06,-2.078317327592832e-06,-2.078317327596063e-06
504,good,1,213224189654.44995,1.0305664072230545,ok,0.014106499998888467,phase1_u_true,1e-10,True,3.265498982329973e-12,-1.8378711390212921e-06,-1.8378711390248166e-06,-1.8378711390272938e-06
572,good,1,209470771487.60135,1.0124251884369326,ok,0.013624699997308198,phase1_u_true,1e-10,True,2.7485791420645e-12,-1.8708031747059228e-06,-1.87080317470957e-06,-1.870803174711065e-06
651,good,1,233234493472.4879,1.1272812637626288,ok,0.01362420000077691,phase1_u_true,1e-10,True,1.5425438704141925e-12,-1.6801913750939992e-06,-1.680191375098182e-06,-1.6801913750914073e-06
826,good,1,223886227254.13657,1.0820987300828253,ok,0.013020499995036516,phase1_u_true,1e-10,True,1.5276668818842154e-12,-1.7503469914804365e-06,-1.750346991479026e-06,-1.7503469914777625e-06
828,good,1,199243490727.72397,0.9629941552814112,ok,0.013883899999200366,phase1_u_true,1e-10,True,1.8400836410137345e-12,-1.966832556871142e-06,-1.9668325568707726e-06,-1.966832556867523e-06
854,good,1,204844654508.877,0.9900659956929774,ok,0.01381559999572346,phase1_u_true,1e-10,True,1.8121060207931805e-12,-1.9130525287467664e-06,-1.91305252874385e-06,-1.9130525287433e-06
869,good,1,222931069199.59973,1.077482209761236,ok,0.013605499996629078,phase1_u_true,1e-10,True,5.312417172831374e-12,-1.7578464308110861e-06,-1.7578464308041413e-06,-1.7578464308017476e-06
956,good,1,234755265022.7409,1.1346315370842963,ok,0.013695200002985075,phase1_u_true,1e-10,True,4.1933123640092163e-13,-1.6693069025251053e-06,-1.6693069025306243e-06,-1.6693069025258053e-06
