sample_id,phase1_kind,repeat,E_true,alpha_true,status,seconds,reference,tolerance,match,max_rel_err,u_disp_y_tip,expected_disp_y_tip,phase1_disp_y_tip
59,failed,1,202115764419.64166,0.9768765800852666,ok,0.051444400000036694,u_ref*E_ref/E,1e-06,True,1.1605161276406761e-12,-1.9388818355295485e-06,-1.9388818355317987e-06,nan
162,wrong,1,233987956262.8456,1.130922939888089,ok,0.02206089999526739,u_ref*E_ref/E,1e-06,True,3.488542787977167e-12,-1.6747810039688175e-06,-1.6747810039746601e-06,-1.917924579550395e-06
212,wrong,1,204062819891.7348,0.9862871913568623,ok,0.019594700002926402,u_ref*E_ref/E,1e-06,True,3.745781462782816e-12,-1.9203820887818276e-06,-1.920382088789021e-06,-1.615193147902935e-08
221,wrong,1,204442317858.7496,0.9881214009606071,ok,0.023832899998524226,u_ref*E_ref/E,1e-06,True,6.377121053446899e-13,-1.91681736155461e-06,-1.9168173615533876e-06,3.971326044368858e-07
271,wrong,1,193648963007.94327,0.9359543886319153,ok,0.021196399997279514,u_ref*E_ref/E,1e-06,True,9.2192919964873e-13,-2.0236544426598957e-06,-2.0236544426617613e-06,-2.590155019044436e-07
396,failed,1,205106906257.4463,0.991333524685579,ok,0.016231699999480043,u_ref*E_ref/E,1e-06,True,6.035172361862351e-13,-1.910606480584449e-06,-1.910606480583296e-06,nan
444,wrong,1,226531057760.2613,1.094881864476855,ok,0.016606099998170976,u_ref*E_ref/E,1e-06,True,7.72937269744034e-13,-1.729911069072467e-06,-1.7299110690711298e-06,-1.07635666824026e-07
585,wrong,1,180331663291.49875,0.8715885127670312,ok,0.016105700000480283,u_ref*E_ref/E,1e-06,True,1.9628743075372768e-13,-2.1730991505051926e-06,-2.173099150504766e-06,2.10176702733565e-07
586,wrong,1,184429645032.60278,0.8913950944060067,ok,0.033152800002426375,u_ref*E_ref/E,1e-06,True,1.199262911200094e-12,-2.124813417273902e-06,-2.1248134172713536e-06,-3.0883286939039163e-07
622,wrong,1,208218226572.89746,1.006371322246967,ok,0.04178219999448629,u_ref*E_ref/E,1e-06,True,1.7505996652289468e-12,-1.8820570646410547e-06,-1.8820570646377602e-06,2.173116544079187e-08
634,wrong,1,237199172850.3083,1.1464435613838004,ok,0.016620499998680316,u_ref*E_ref/E,1e-06,True,1.291411422243982e-12,-1.6521077185866934e-06,-1.6521077185845597e-06,5.9191017787283176e-08
