sample_id,xi,E_true,alpha_true,u_true_disp_y_tip,u_hat_disp_y_tip,status
1,-9.5217010658360557e-01,1.8719960049478522e+11,9.0478298934163948e-01,-2.0933729734082142e-06,-2.1133010549737872e-06,"ok"
2,-8.5499836135951635e-01,1.8921008390347162e+11,9.1450016386404842e-01,-2.0711294885712117e-06,-2.1665956559080271e-06,"ok"
3,1.1003357416723316e+00,2.2966594649520053e+11,1.1100335741672331e+00,-1.7062981704006053e-06,-1.6879808191482146e-06,"ok"
4,7.5476716247128400e-02,2.0846161325915308e+11,1.0075476716247127e+00,-1.8798596930270599e-06,-1.8997016624854152e-06,"ok"
5,-1.3266232365821902e+00,1.7945216523511450e+11,8.6733767634178105e-01,-2.1837495457058673e-06,-2.1531382010402279e-06,"ok"
6,1.1116091529085521e+00,2.2989919337367795e+11,1.1111609152908553e+00,-1.7045670259115433e-06,-1.8264833758516526e-06,"ok"
7,6.2425121875207845e-01,2.1981575771598050e+11,1.0624251218752079e+00,-1.7827592906903761e-06,-1.7323485019223680e-06,"ok"
8,-5.7827226382897778e-01,1.9493554686137845e+11,9.4217277361710217e-01,-2.0102982273796347e-06,-2.0826825997534604e-06,"ok"
9,3.9018150026405046e-01,2.1497285524046320e+11,1.0390181500264051e+00,-1.8229212421747712e-06,-1.7274715750547684e-06,"ok"
10,3.0881436789310918e-01,2.1328936927170844e+11,1.0308814367893109e+00,-1.8373094995135989e-06,-1.7995639045477908e-06,"ok"
11,8.1675856204540834e-02,2.0858987346487195e+11,1.0081675856204542e+00,-1.8787037826840579e-06,-1.8886791171584508e-06,"ok"
12,1.6794893726297635e+00,2.4164863511970981e+11,1.1679489372629763e+00,-1.6216875552124646e-06,-1.6081800821079836e-06,"ok"
13,6.8589790241689619e-01,2.2109122760100558e+11,1.0685897902416897e+00,-1.7724745959445307e-06,-1.7960652807944101e-06,"ok"
14,6.5698651983105349e-01,2.2049305109530450e+11,1.0656986519831053e+00,-1.7772831495633539e-06,-1.7814751768107837e-06,"ok"
15,2.4199366955896945e-01,2.1190684902317508e+11,1.0241993669558969e+00,-1.8492964532031896e-06,-1.7879882679236974e-06,"ok"
16,6.1131390891265638e-02,2.0816480847754028e+11,1.0061131390891265e+00,-1.8825400276536924e-06,-1.8472149661767359e-06,"ok"
17,-7.7321179502336579e-01,1.9090224796096655e+11,9.2267882049766337e-01,-2.0527709259246300e-06,-2.1060454605767231e-06,"ok"
18,-1.0387596940814754e+00,1.8540806192945428e+11,8.9612403059185253e-01,-2.1136005642326422e-06,-2.0797033232356679e-06,"ok"
19,1.1398450045618282e+00,2.3048339314438422e+11,1.1139845004561828e+00,-1.7002465078312359e-06,-1.6965574194332283e-06,"ok"
20,2.6650131628750844e-02,2.0745139122339886e+11,1.0026650131628752e+00,-1.8890140094818473e-06,-1.9074488318793425e-06,"ok"
21,8.6996664600563545e-01,2.2489960990585660e+11,1.0869966646005635e+00,-1.7424600446048232e-06,-1.7018446011543540e-06,"ok"
22,-6.8527518300127666e-01,1.9272165646370358e+11,9.3147248169987229e-01,-2.0333915321087540e-06,-2.0434969315468440e-06,"ok"
23,-2.9934125702173314e-01,2.0070662939222034e+11,9.7006587429782665e-01,-1.9524944716337614e-06,-1.9728346642214186e-06,"ok"
24,8.6876502730256611e-01,2.2487474841489008e+11,1.0868765027302565e+00,-1.7426526858575231e-06,-1.7425153642099868e-06,"ok"
25,2.0058233577274362e-01,2.1105004852713806e+11,1.0200582335772743e+00,-1.8568040473892317e-06,-1.8948407959379167e-06,"ok"
26,4.3111122789051448e-01,2.1581969130505475e+11,1.0431111227890515e+00,-1.8157684404877751e-06,-1.7919094114335397e-06,"ok"
27,-1.5675317263423816e+00,1.7446776858197614e+11,8.4324682736576184e-01,-2.2461374240785659e-06,-2.2579712220161832e-06,"ok"
28,-2.4212381743867176e-01,2.0189045821719388e+11,9.7578761825613280e-01,-1.9410455935822600e-06,-1.9636643126207804e-06,"ok"
29,-6.1480695409895636e-01,1.9417964411969260e+11,9.3851930459010435e-01,-2.0181239186283137e-06,-2.0789838764241597e-06,"ok"
30,-1.4227852713644460e+00,1.7746257273546960e+11,8.5772147286355538e-01,-2.2082322952234895e-06,-2.2419556380363844e-06,"ok"
31,-1.2375638261485453e+00,1.8129480443698660e+11,8.7624361738514545e-01,-2.1615544114765845e-06,-2.1533998902762579e-06,"ok"
32,1.1436585564051331e+00,2.3056229553202222e+11,1.1143658556405134e+00,-1.6996646542073214e-06,-1.7191713807331681e-06,"ok"
33,6.7391968956518877e-01,2.2084339837710376e+11,1.0673919689565190e+00,-1.7744636569922798e-06,-1.7194473108147967e-06,"ok"
34,1.0906274137998784e-01,2.0915650811915195e+11,1.0109062741379988e+00,-1.8736141076088634e-06,-1.9075251681511337e-06,"ok"
35,1.3830031362165949e+00,2.3551433488832135e+11,1.1383003136216594e+00,-1.6639266756009313e-06,-1.6219275265613846e-06,"ok"
36,-1.2067412095738188e+00,1.8193252437391769e+11,8.7932587904261816e-01,-2.1539776115190027e-06,-2.1647813183924674e-06,"ok"
37,1.0241684433044138e+00,2.2809004509196832e+11,1.1024168443304414e+00,-1.7180871885487781e-06,-1.7121716970465199e-06,"ok"
38,-3.2633298589390819e-02,2.0622481705218552e+11,9.9673667014106093e-01,-1.9002493972864911e-06,-1.9235605318269178e-06,"ok"
39,4.6678421448052260e-01,2.1655776539760202e+11,1.0466784214480522e+00,-1.8095799224248082e-06,-1.8499119380737911e-06,"ok"
40,4.6656542393905287e-01,2.1655323862129901e+11,1.0466565423939054e+00,-1.8096177494390408e-06,-1.8175809594380164e-06,"ok"
41,-1.0826994587390488e+00,1.8449894819868909e+11,8.9173005412609518e-01,-2.1240152756078490e-06,-2.0956068910929746e-06,"ok"
42,-1.2561139051300843e+00,1.8091100330285855e+11,8.7438860948699160e-01,-2.1661401305302070e-06,-2.1487716398700297e-06,"ok"
43,3.4767287499920768e-01,2.1409335178373361e+11,1.0347672874999208e+00,-1.8304098704746149e-06,-1.7718255159859790e-06,"ok"
44,2.1651788666998026e-01,2.1137975507520190e+11,1.0216517886669980e+00,-1.8539078360137107e-06,-1.8351492378648740e-06,"ok"
45,-5.7221456674568349e-01,1.9506088061403180e+11,9.4277854332543165e-01,-2.0090065372088081e-06,-1.9715577391041681e-06,"ok"
46,7.4415475990089811e-02,2.0843965619823495e+11,1.0074415475990091e+00,-1.8800577176887452e-06,-1.9174250779507761e-06,"ok"
47,7.0200097976908382e-01,2.2142440027142233e+11,1.0702000979769084e+00,-1.7698075904411743e-06,-1.7276472407744567e-06,"ok"
48,1.7430233054282915e+00,2.4296315218931134e+11,1.1743023305428291e+00,-1.6129136487478570e-06,-1.6035981530295246e-06,"ok"
49,7.5379272107667483e-01,2.2249597139907642e+11,1.0753792721076676e+00,-1.7612839542405963e-06,-1.7967745112398552e-06,"ok"
