#,type,name,location_0,location_1,location_2,value,u_mean,u_std,u_hat_mean,u_hat_std,n_samples
1,displacement_sensor,disp_y_tip,1.0,0.05,0.0,-1.9174365677969600e-06,-1.9164899471794404e-06,1.8973958174008603e-07,-1.9174365677969600e-06,1.9280997203115956e-07,1000
2,displacement_sensor,disp_y_x0900,0.9,0.05,0.0,-1.6312768250231232e-06,-1.6309300370944342e-06,1.6146809616250338e-07,-1.6312768250231232e-06,1.6379646113480669e-07,1000
3,displacement_sensor,disp_y_x0800,0.8,0.05,0.0,-1.3504332886049991e-06,-1.3511481887322076e-06,1.3376866003196421e-07,-1.3504332886049991e-06,1.3841617028904168e-07,1000
4,displacement_sensor,disp_y_x0700,0.7,0.05,0.0,-1.0836040662110463e-06,-1.0827967769822425e-06,1.0720087933489526e-07,-1.0836040662110463e-06,1.1416072931382830e-07,1000
5,displacement_sensor,disp_y_x0600,0.6,0.05,0.0,-8.3051551452408764e-07,-8.3157176882128175e-07,8.2328675835333723e-08,-8.3051551452408764e-07,9.0941235511620909e-08,1000
6,displacement_sensor,disp_y_x0500,0.5,0.05,0.0,-6.0195228733969309e-07,-6.0304391805186971e-07,5.9703574730699874e-08,-6.0195228733969309e-07,6.9312296743329864e-08,1000
7,displacement_sensor,disp_y_x0400,0.4,0.05,0.0,-4.0285707715938098e-07,-4.0274859124952685e-07,3.9873597752264973e-08,-4.0285707715938098e-07,5.4609952983720065e-08,1000
8,displacement_sensor,disp_y_x0300,0.3,0.05,0.0,-2.3652783644203912e-07,-2.3631824162290669e-07,2.3396378566489552e-08,-2.3652783644203912e-07,4.6640560705470957e-08,1000
9,displacement_sensor,disp_y_x0200,0.2,0.05,0.0,-1.0909956136825934e-07,-1.0910774341510425e-07,1.0802069497235682e-08,-1.0909956136825934e-07,4.0027478232217787e-08,1000
10,displacement_sensor,disp_y_x0100,0.1,0.05,0.0,-2.7082145302664937e-08,-2.6842643408541708e-08,2.6575208185310241e-09,-2.7082145302664937e-08,3.9105148051134214e-08,1000
