sample_id,xi,E_true,alpha_true,u_true_disp_y_tip,u_true_disp_y_x0900,u_true_disp_y_x0800,u_true_disp_y_x0700,u_true_disp_y_x0600,u_true_disp_y_x0500,u_true_disp_y_x0400,u_true_disp_y_x0300,u_true_disp_y_x0200,u_true_disp_y_x0100,u_hat_disp_y_tip,u_hat_disp_y_x0900,u_hat_disp_y_x0800,u_hat_disp_y_x0700,u_hat_disp_y_x0600,u_hat_disp_y_x0500,u_hat_disp_y_x0400,u_hat_disp_y_x0300,u_hat_disp_y_x0200,u_hat_disp_y_x0100,status,valid,law_residual,law_residual_disp_y_tip,law_residual_disp_y_x0900,law_residual_disp_y_x0800,law_residual_disp_y_x0700,law_residual_disp_y_x0600,law_residual_disp_y_x0500,law_residual_disp_y_x0400,law_residual_disp_y_x0300,law_residual_disp_y_x0200,law_residual_disp_y_x0100
1,-9.5217010658360557e-01,1.8719960049478522e+11,9.0478298934163948e-01,-2.0933729734062779e-06,-1.7814572240228640e-06,-1.4758528243373352e-06,-1.1827338369095428e-06,-9.0832193973162748e-07,-6.5870204103329224e-07,-4.3992039574227418e-07,-2.5812930605996487e-07,-1.1917787598661612e-07,-2.9320093397269729e-08,-2.1133010549718508e-06,-1.8769233913596796e-06,-1.4575354730849445e-06,-1.2025758063678980e-06,-8.7771059506598808e-07,-7.8061839097340158e-07,-3.8950960697426603e-07,-3.3051367843379057e-07,-2.3728208866613370e-08,8.4255015685381974e-09,ok,1,9.65005853004186e-13,8.930634010084759e-13,8.943956686380261e-13,8.884004643050503e-13,8.908429549592256e-13,8.930634010084759e-13,9.166001291305292e-13,9.410250356722827e-13,9.590106486712102e-13,9.596767824859853e-13,9.65005853004186e-13
2,-8.5499836135951635e-01,1.8921008390347162e+11,9.1450016386404842e-01,-2.0711294885763041e-06,-1.7625280521833464e-06,-1.4601709031859335e-06,-1.1701665006090225e-06,-8.9867041296412615e-07,-6.5170289227032353e-07,-4.3524594796185048e-07,-2.5538650992354141e-07,-1.1791153152231200e-07,-2.9008547838505512e-08,-2.0811048230506971e-06,-1.7490205790788654e-06,-1.4837615880358129e-06,-1.1743585278564523e-06,-8.3736222768463397e-07,-6.1637783079336714e-07,-4.8852048261394371e-07,-2.2148926892656733e-07,-1.1422244312430438e-07,-4.7443370236000891e-08,ok,1,1.5079049120458876e-12,1.5079049120458876e-12,1.5065726444163374e-12,1.4994672170587364e-12,1.496358592589786e-12,1.4857004515533845e-12,1.4932499681208355e-12,1.5025758415276869e-12,1.5072387782311125e-12,1.4930279235159105e-12,1.4779288903810084e-12
3,1.1003357416723316e+00,2.2966594649520053e+11,1.1100335741672331e+00,-1.7062981703967545e-06,-1.4520571539834450e-06,-1.2029604881369335e-06,-9.6404062134280850e-07,-7.4036881319487305e-07,-5.3690484291607385e-07,-3.5857698361015424e-07,-2.1039994699992263e-07,-9.7141309423118651e-08,-2.3898666102579059e-08,-1.6656827269462853e-06,-1.4621625534215350e-06,-1.2233006807245907e-06,-9.6390329969527217e-07,-7.7840556174355812e-07,-5.1304581386183851e-07,-3.7041078154777152e-07,-2.3301866603844297e-07,-1.5800126721896466e-07,-5.7622008915473931e-08,ok,1,-2.1499468871866156e-12,-1.751265799043722e-12,-1.787014980436652e-12,-1.834643548193071e-12,-1.88005166990024e-12,-1.9308998844280723e-12,-1.9613199953028015e-12,-1.990740905455368e-12,-2.027489287570461e-12,-2.084110661826344e-12,-2.1499468871866156e-12
4,7.5476716247128400e-02,2.0846161325915308e+11,1.0075476716247127e+00,-1.8798596930289836e-06,-1.5997577463928528e-06,-1.3253234242347074e-06,-1.0621010664767205e-06,-8.1567777194408992e-07,-5.9151781951216453e-07,-3.9505077719240077e-07,-2.3180144399323188e-07,-1.0702234537960079e-07,-2.6329594617691131e-08,-1.8717051718286572e-06,-1.6192644729186995e-06,-1.2703070780572243e-06,-1.0960121270189907e-06,-7.7367862290454316e-07,-6.0232152638562921e-07,-3.8913528569014275e-07,-2.5511257853365876e-07,-1.4735436102858363e-07,-3.4292804616666685e-08,ok,1,5.469624753118296e-12,4.573674772245795e-12,4.648281759500605e-12,4.7339909770016675e-12,4.835021272242557e-12,4.936273612088371e-12,5.055955654142963e-12,5.1736392947532295e-12,5.279332526697544e-12,5.363487431964131e-12,5.469624753118296e-12
5,-1.3266232365821902e+00,1.7945216523511450e+11,8.6733767634178105e-01,-2.1837495456961764e-06,-1.8583675499100164e-06,-1.5395693818557725e-06,-1.2337956550702815e-06,-9.4753665420965009e-07,-6.8713998944704288e-07,-4.5891294888607452e-07,-2.6927344625159323e-07,-1.2432310718103456e-07,-3.0585921118411181e-08,-2.1553411611813020e-06,-1.8409990592498390e-06,-1.4809850273671366e-06,-1.2150370569214448e-06,-9.1008785610501014e-07,-7.2450734970907371e-07,-4.1675259921935689e-07,-2.5995795053326080e-07,-1.5981366418029359e-07,-5.1313561866502073e-08,ok,1,-4.388045482528469e-12,-3.8516967393320556e-12,-3.909650381217489e-12,-3.977707052627011e-12,-4.04298816647497e-12,-4.1137093731435925e-12,-4.1630032754369495e-12,-4.207856285631806e-12,-4.2547076972709874e-12,-4.317324275859846e-12,-4.388045482528469e-12
6,1.1116091529085521e+00,2.2989919337367795e+11,1.1111609152908553e+00,-1.7045670259122112e-06,-1.4505839526538884e-06,-1.2017400107021634e-06,-9.6306254281397537e-07,-7.3961766347822516e-07,-5.3636011991665898e-07,-3.5821318519671714e-07,-2.1018648330760873e-07,-9.7042753587531389e-08,-2.3874419435317473e-08,-1.6542297775365031e-06,-1.4239084525052299e-06,-1.1675947263332947e-06,-9.7146092187136857e-07,-6.5766251418029016e-07,-5.1611456068303912e-07,-3.7009064483980692e-07,-2.5586936284700356e-07,-6.7179360609897383e-08,7.6301900789685943e-10,ok,1,1.9970691766957316e-12,1.7881252034612771e-12,1.7974510768681284e-12,1.8036683258060293e-12,1.8178791805212313e-12,1.830091633792108e-12,1.8667289936047382e-12,1.908251334725719e-12,1.9462209621678994e-12,1.9664270212160773e-12,1.9970691766957316e-12
7,6.2425121875207845e-01,2.1981575771598050e+11,1.0624251218752079e+00,-1.7827592906917250e-06,-1.5171254513375034e-06,-1.2568664866251287e-06,-1.0072403546584334e-06,-7.7354556381843297e-07,-5.6096414655579175e-07,-3.7464521737769855e-07,-2.1982820282114266e-07,-1.0149431962635315e-07,-2.4969591932240964e-08,-1.7830301055110300e-06,-1.4761763348781691e-06,-1.2387299492646646e-06,-9.4380199633108147e-07,-7.5859309682217886e-07,-5.9038051234635953e-07,-3.0923308089199502e-07,-2.1996036719578719e-07,-6.9458840548657587e-08,-4.4883162899827714e-08,ok,1,2.0032864256336325e-12,1.836308882730009e-12,1.8629542353210127e-12,1.885158695813516e-12,1.9100276915651193e-12,1.923350367860621e-12,1.9528823003156504e-12,1.979305608301729e-12,1.9968471320908066e-12,1.9966250874858815e-12,2.0032864256336325e-12
8,-5.7827226382897778e-01,1.9493554686137845e+11,9.4217277361710217e-01,-2.0102982273792358e-06,-1.7107607412060090e-06,-1.4172841411105136e-06,-1.1357974742226457e-06,-8.7227551350347215e-07,-6.3256168980996491e-07,-4.2246231463937114e-07,-2.4788553831505972e-07,-1.1444834526973436e-07,-2.8156536141392814e-08,-2.0551794654763800e-06,-1.6959880908521282e-06,-1.4401054817679911e-06,-1.1325166304058791e-06,-9.0003252253578210e-07,-5.2448651644127878e-07,-3.9030542563483646e-07,-2.3303411103395075e-07,-1.5457855979607795e-07,-6.0245342088591379e-08,ok,1,2.0385915178167124e-12,1.901589996577968e-12,1.9175772081325704e-12,1.928901482983747e-12,1.943112337698949e-12,1.951772077291025e-12,1.9806378759312793e-12,2.0097257191764584e-12,2.0305979120394113e-12,2.0321522242738865e-12,2.0385915178167124e-12
9,3.9018150026405046e-01,2.1497285524046320e+11,1.0390181500264051e+00,-1.8229212421732516e-06,-1.5513032111091417e-06,-1.2851811397126159e-06,-1.0299314372207445e-06,-7.9097197666329172e-07,-5.7360153117315508e-07,-3.8308521436524392e-07,-2.2478048643114707e-07,-1.0378078082261070e-07,-2.5532106201507964e-08,-1.8225938819677030e-06,-1.6197624597954933e-06,-1.3083467245604753e-06,-1.0669456256507916e-06,-8.6001076044782885e-07,-5.8301928546855718e-07,-4.5736776686214224e-07,-2.8446315157829622e-07,-1.7238356216755351e-07,7.5043102561802800e-08,ok,1,1.5054624213917123e-12,1.5054624213917123e-12,1.5001333508735115e-12,1.482369782479509e-12,1.4621637234313312e-12,1.433075880186152e-12,1.425748408223626e-12,1.425082274408851e-12,1.4208634269152753e-12,1.3959944311636718e-12,1.3697931677825181e-12
10,3.0881436789310918e-01,2.1328936927170844e+11,1.0308814367893109e+00,-1.8373094995158109e-06,-1.5635475962759157e-06,-1.2953250321322962e-06,-1.0380606521430984e-06,-7.9721509243151212e-07,-5.7812894917230228e-07,-3.8610889334878431e-07,-2.2655467140944692e-07,-1.0459991910857207e-07,-2.5733630275091355e-08,-1.8317297983275843e-06,-1.6419691633991820e-06,-1.3192189886226377e-06,-1.0566569640807679e-06,-8.2072801741893733e-07,-6.0540382446155795e-07,-3.9636276150893831e-07,-2.2777725781546974e-07,-1.0568582176281737e-07,-4.6163610130463936e-08,ok,1,2.220890138460163e-12,1.9386714456004484e-12,1.963762485956977e-12,1.98641103565933e-12,2.015276834299584e-12,2.0394796962364126e-12,2.084332706431269e-12,2.1311841180704505e-12,2.170041923932331e-12,2.190692072190359e-12,2.220890138460163e-12
